Delta Taxon ~ Delta Clinical
PH 
delta_clinical ~ delta_taxa
Group A:
	pvals	adj.pvals	coeffs
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.105544958432981	0.801781263011151	1.36175956486334
k__Bacteria;Other;Other;Other;Other;Other	0.237793073504328	0.87686195854721	15.5878460066448
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.204078031251994	0.87686195854721	14.5414314545108
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.701320684601781	0.949830479268295	-9.85517560567655
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;Other	0.207085145065443	0.87686195854721	-14.9504319484341
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.67481453375246	0.949830479268295	0.353782200592983
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.404945466692535	0.918914712879214	1.35069184618664
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.98487979325829	0.993673948756927	-0.0830442195830503
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.739818164725721	0.949830479268295	8.74347337335778
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.896069174049444	0.973505589094658	-0.19569195108735
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.99673282777008	0.99673282777008	0.0376159890934006
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0.955728703374609	0.993673948756927	-0.23429705620308
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.595627244639539	0.949830479268295	0.445764218133712
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0722046845434519	0.67035714179728	1.96872315898386
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0502840396233147	0.67035714179728	0.537895768017468
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.0783775251539426	0.67035714179728	2.01813755041328
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.777365985284688	0.949830479268295	-2.62792105919341
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0432416352535382	0.67035714179728	-0.537143947159967
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;Other	0.801105182629369	0.949830479268295	-1.11773857471346
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.481840123296744	0.949830479268295	0.672724133491934
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.75839286261969	0.949830479268295	-6.8263727894377
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.365309854157623	0.917160910438287	1.72745178278711
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	0.985252983089496	0.993673948756927	0.018707909245367
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	0.0414778435532387	0.67035714179728	6.63864106540372
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.260616843154071	0.878405493974023	4.86428256969668
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__	0.589900865936598	0.949830479268295	1.19389729754082
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.768687405706251	0.949830479268295	0.267416813239267
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	0.110746957098754	0.801781263011151	-1.33713498301861
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	0.137537280061718	0.811469952364138	7.73037812878037
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.899255162807778	0.973505589094658	-3.76280698162494
k__Bacteria;p__Firmicutes;Other;Other;Other;Other	0.388602530900861	0.918914712879214	15.288053371601
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other	0.86153421067124	0.959066385464211	10.3590875104766
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__	0.846884903590746	0.959066385464211	-4.97289949459609
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other	0.267523620861923	0.878405493974023	15.8848587969941
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.588191763667827	0.949830479268295	-7.39553141500207
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__	0.332544645751751	0.911950916366168	26.6747498542019
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.638025744119633	0.949830479268295	-9.97102687496452
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.571757190028082	0.949830479268295	3.49818338508829
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0739010042235774	0.67035714179728	-4.50012819925139
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.553745071593275	0.949830479268295	-2.12265972904435
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other;Other	0.395940691740972	0.918914712879214	15.9788378163555
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0.436143143422319	0.949830479268295	-1.3561528549367
